scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
baseline.closed-loop-inflight,k16-i5,original,0,sealed,4096,4096,0,4096,0,7000000,8000000,1408,2456940,8000000,5820000,1,1793000000
baseline.closed-loop-inflight,k256-i1,common,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,142,2315915,9000000,7222001,1,76000000
baseline.closed-loop-inflight,k256-i1,common,0,sealed,4096,4096,0,4096,0,8000000,9000000,145,2314902,9000000,7222001,1,76000000
baseline.closed-loop-inflight,k256-i1,original,0,broker-ready,4096,4096,0,4096,0,8000000,8000000,255,2321505,8000000,5820000,1,70000000
baseline.closed-loop-inflight,k256-i1,original,0,sealed,4096,4096,0,4096,0,8000000,8000000,255,2321505,8000000,5820000,1,70000000
baseline.closed-loop-inflight,k256-i5,common,0,broker-ready,4096,4096,0,4096,0,9000000,9000000,310,2335068,9000000,7403076,1,111000000
baseline.closed-loop-inflight,k256-i5,common,0,sealed,4096,4096,0,4096,0,8000000,9000000,299,2331180,9000000,7481075,1,107000000
baseline.closed-loop-inflight,k256-i5,original,0,broker-ready,4096,4096,0,4096,0,8000000,8000000,406,2338322,8000000,5820000,1,88000000
baseline.closed-loop-inflight,k256-i5,original,0,sealed,4096,4096,0,4096,0,8000000,8000000,406,2338322,8000000,5820000,1,88000000
baseline.closed-loop-inflight,k4-i1,common,0,broker-ready,4096,4096,0,4096,0,8000000,8000000,2502,2640116,8000000,6606001,1,7169000000
baseline.closed-loop-inflight,k4-i1,common,0,sealed,4096,4096,0,4096,0,7000000,8000000,2447,2637366,8000000,6606001,1,7169000000
baseline.closed-loop-inflight,k4-i1,original,0,broker-ready,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k4-i1,original,0,sealed,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k4-i5,common,0,broker-ready,4096,4096,0,4096,0,8000000,8000000,2502,2640116,8000000,6205001,1,7169000000
baseline.closed-loop-inflight,k4-i5,common,0,sealed,4096,4096,0,4096,0,7000000,8000000,2447,2637366,8000000,6205001,1,7169000000
baseline.closed-loop-inflight,k4-i5,original,0,broker-ready,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k4-i5,original,0,sealed,4096,4096,0,4096,0,7000000,8000000,3264,2678333,8000000,5819000,1,7169000000
baseline.closed-loop-inflight,k64-i1,common,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,371,2347033,9000000,7222001,1,211000000
baseline.closed-loop-inflight,k64-i1,common,0,sealed,4096,4096,0,4096,0,8000000,9000000,414,2341751,9000000,7222001,1,236000000
baseline.closed-loop-inflight,k64-i1,original,0,broker-ready,4096,4096,0,4096,0,8000000,8000000,503,2349590,8000000,5820000,1,203000000
baseline.closed-loop-inflight,k64-i1,original,0,sealed,4096,4096,0,4096,0,8000000,8000000,503,2349590,8000000,5820000,1,203000000
baseline.closed-loop-inflight,k64-i5,common,0,broker-ready,4096,4096,0,4096,0,8000000,9000000,460,2354052,9000000,6821001,1,213000000
baseline.closed-loop-inflight,k64-i5,common,0,sealed,4096,4096,0,4096,0,8000000,9000000,508,2350899,9000000,6821001,1,246000000
baseline.closed-loop-inflight,k64-i5,original,0,broker-ready,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.closed-loop-inflight,k64-i5,original,0,sealed,4096,4096,0,4096,0,8000000,8000000,516,2351124,8000000,5820000,1,202000000
baseline.compression,random0-zstd0,common,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,1384,8787499,9000000,6821001,1,482000000
baseline.compression,random0-zstd0,common,0,sealed,4096,4096,0,4096,0,7000000,9000000,1478,8775040,9000000,6821001,1,514000000
baseline.compression,random0-zstd0,original,0,broker-ready,4096,4096,0,4096,0,6000000,8000000,1881,8803626,8000000,5820000,1,412000000
baseline.compression,random0-zstd0,original,0,sealed,4096,4096,0,4096,0,6000000,8000000,1881,8803626,8000000,5820000,1,412000000
baseline.compression,random0-zstd1,common,0,broker-ready,4096,4096,0,4096,0,7000000,9000000,767,195690,9000000,6821000,1,437000000
baseline.compression,random0-zstd1,common,0,sealed,4096,4096,0,4096,0,7000000,9000000,882,189604,9000000,6821000,1,468000000
baseline.compression,random0-zstd1,original,0,broker-ready,4096,4096,0,4096,0,7000000,9000000,763,169584,8000000,6821000,1,472000000
baseline.compression,random0-zstd1,original,0,sealed,4096,4096,0,4096,0,7000000,9000000,763,169584,8000000,6821000,1,472000000
baseline.compression,random0-zstd3,common,0,broker-ready,4096,4096,0,4096,0,7000000,9000000,767,192850,9000000,6821000,1,437000000
baseline.compression,random0-zstd3,common,0,sealed,4096,4096,0,4096,0,7000000,9000000,882,187404,9000000,6821000,1,468000000
baseline.compression,random0-zstd3,original,0,broker-ready,4096,4096,0,4096,0,7000000,9000000,763,167794,8000000,6821000,1,472000000
baseline.compression,random0-zstd3,original,0,sealed,4096,4096,0,4096,0,7000000,9000000,763,167794,8000000,6821000,1,472000000
baseline.compression,random1-zstd0,common,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,1384,8787499,9000000,6821001,1,482000000
baseline.compression,random1-zstd0,common,0,sealed,4096,4096,0,4096,0,7000000,9000000,1478,8775040,9000000,6821001,1,514000000
baseline.compression,random1-zstd0,original,0,broker-ready,4096,4096,0,4096,0,6000000,8000000,1881,8803626,8000000,5820000,1,412000000
baseline.compression,random1-zstd0,original,0,sealed,4096,4096,0,4096,0,6000000,8000000,1881,8803626,8000000,5820000,1,412000000
baseline.compression,random1-zstd1,common,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,1540,8823838,9000000,6821000,1,528000000
baseline.compression,random1-zstd1,common,0,sealed,4096,4096,0,4096,0,6000000,9000000,1632,8808495,9000000,6821000,1,557000000
baseline.compression,random1-zstd1,original,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,2047,8841637,8000000,6821000,1,427000000
baseline.compression,random1-zstd1,original,0,sealed,4096,4096,0,4096,0,6000000,9000000,2047,8841637,8000000,6821000,1,427000000
baseline.compression,random1-zstd3,common,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,1540,8823838,9000000,6821000,1,528000000
baseline.compression,random1-zstd3,common,0,sealed,4096,4096,0,4096,0,6000000,9000000,1632,8808495,9000000,6821000,1,557000000
baseline.compression,random1-zstd3,original,0,broker-ready,4096,4096,0,4096,0,6000000,9000000,2047,8841637,8000000,6821000,1,427000000
baseline.compression,random1-zstd3,original,0,sealed,4096,4096,0,4096,0,6000000,9000000,2047,8841637,8000000,6821000,1,427000000
baseline.linger-sweep,linger0-skip0,common,0,broker-ready,4096,4096,0,4096,0,8000000,10000000,1601,2541141,9000000,8226012,1,544000000
