scenario,variant,profile,size,seed,adapter,offered,accepted,refused,acked,failed,duration_ns,ack_p50_ns,ack_p99_ns,ack_max_ns,failed_max_ns,first_observation_wait_p99_ns,first_observation_wait_max_ns,broker_attempts_max,broker_record_observations,attempted_records,produce_requests,wire_bytes,request_records_p50,global_pending_gap_ns,partition_pending_gap_ns,gap_partition,gap_end_kind,deadline_overshoot_count,sender_errors,max_source_lag_ns,fault_exposure_comparable,last_offer_ns,last_terminal_ns,source_offer_gap_max_ns
baseline.closed-loop-inflight,k64-i1,original,full,0,classic,4096,4096,0,4096,0,208965000,2808000,5616000,7020000,,4414000,5818000,1,4096,4096,340,2357076,13,4212000,4212000,0,ack,0,0,0,True,202349000,208965000,10000000
baseline.closed-loop-inflight,k64-i1,original,full,0,native,4096,4096,0,4096,0,203000000,3000000,8000000,8000000,,5819000,5820000,1,4096,4096,503,2349590,8,8000000,8000000,0,ack,0,0,0,True,197000000,203000000,8000000
baseline.closed-loop-inflight,k64-i1,common,full,0,classic,4096,4096,0,4096,0,208965000,2808000,5616000,7020000,,4414000,5818000,1,4096,4096,340,2357076,13,4212000,4212000,0,ack,0,0,0,True,202349000,208965000,10000000
baseline.closed-loop-inflight,k64-i1,common,full,0,native,4096,4096,0,4096,0,236000000,3000000,8000000,9000000,,5818001,7222001,1,4096,4096,414,2341751,8,8000000,9000000,2,ack,0,0,0,True,229000000,236000000,8000000
baseline.closed-loop-inflight,k64-i5,original,full,0,classic,4096,4096,0,4096,0,159634000,2207000,5215000,6218000,,4013000,5016000,1,4096,4096,344,2357452,12,4404000,4606000,0,ack,0,0,0,True,154227000,159634000,10000000
baseline.closed-loop-inflight,k64-i5,original,full,0,native,4096,4096,0,4096,0,202000000,3000000,8000000,8000000,,5819000,5820000,1,4096,4096,516,2351124,8,8000000,8000000,0,ack,0,0,0,True,195000000,202000000,8000000
baseline.closed-loop-inflight,k64-i5,common,full,0,classic,4096,4096,0,4096,0,159634000,2207000,5215000,6218000,,4013000,5016000,1,4096,4096,344,2357452,12,4404000,4606000,0,ack,0,0,0,True,154227000,159634000,10000000
baseline.closed-loop-inflight,k64-i5,common,full,0,native,4096,4096,0,4096,0,246000000,4000000,8000000,9000000,,5818001,6821001,1,4096,4096,508,2350899,8,8000000,9000000,2,ack,0,0,0,True,240000000,246000000,8000000
baseline.closed-loop-inflight,k256-i1,original,full,0,classic,4096,4096,0,4096,0,206563000,9827000,23869000,25272000,,22667000,24070000,1,4096,4096,340,2356812,12,4212000,5214000,0,ack,0,0,0,True,182695000,206563000,10000000
baseline.closed-loop-inflight,k256-i1,original,full,0,native,4096,4096,0,4096,0,70000000,3000000,8000000,8000000,,5819000,5820000,1,4096,4096,255,2321505,13,8000000,8000000,0,ack,0,0,0,True,67000000,70000000,5000000
baseline.closed-loop-inflight,k256-i1,common,full,0,classic,4096,4096,0,4096,0,206563000,9827000,23869000,25272000,,22667000,24070000,1,4096,4096,340,2356812,12,4212000,5214000,0,ack,0,0,0,True,182695000,206563000,10000000
baseline.closed-loop-inflight,k256-i1,common,full,0,native,4096,4096,0,4096,0,76000000,4000000,8000000,9000000,,6222001,7222001,1,4096,4096,145,2314902,30,8000000,9000000,2,ack,0,0,0,True,69000000,76000000,5000000
baseline.closed-loop-inflight,k256-i5,original,full,0,classic,4096,4096,0,4096,0,151623000,7021000,16650000,17051000,,15448000,15849000,1,4096,4096,340,2356741,13,4212000,5013000,0,ack,0,0,0,True,135575000,151623000,10000000
baseline.closed-loop-inflight,k256-i5,original,full,0,native,4096,4096,0,4096,0,88000000,6000000,8000000,8000000,,5819000,5820000,1,4096,4096,406,2338322,8,8000000,8000000,0,ack,0,0,0,True,81000000,88000000,5000000
baseline.closed-loop-inflight,k256-i5,common,full,0,classic,4096,4096,0,4096,0,151623000,7021000,16650000,17051000,,15448000,15849000,1,4096,4096,340,2356741,13,4212000,5013000,0,ack,0,0,0,True,135575000,151623000,10000000
baseline.closed-loop-inflight,k256-i5,common,full,0,native,4096,4096,0,4096,0,107000000,6000000,8000000,9000000,,6451070,7481075,1,4096,4096,299,2331180,9,8000000,9000000,2,ack,0,0,0,True,100000000,107000000,5000000
baseline.open-loop-rate,rate500,original,full,0,classic,10000,9995,5,9995,0,20000404000,6404000,7212000,9616000,,6010000,8414000,1,9995,9995,5777,6510136,2,9212000,9616000,0,ack,0,0,0,True,19998000000,20000404000,2000000
baseline.open-loop-rate,rate500,original,full,0,native,10000,10000,0,10000,0,20005000000,7000000,7000000,8000000,,5203000,5819000,1,10000,10000,7970,6539692,1,8000000,8000000,5,ack,0,0,0,True,19998000000,20005000000,2000000
baseline.open-loop-rate,rate500,common,full,0,classic,10000,9995,5,9995,0,20000404000,6404000,7212000,9616000,,6010000,8414000,1,9995,9995,5777,6510136,2,9212000,9616000,0,ack,0,0,0,True,19998000000,20000404000,2000000
baseline.open-loop-rate,rate500,common,full,0,native,10000,10000,0,10000,0,20005000000,7000000,7000000,8000000,,5202001,5818001,1,10000,10000,7970,6539575,1,8000000,8000000,5,ack,0,0,0,True,19998000000,20005000000,2000000
baseline.open-loop-rate,rate2000,original,full,0,classic,40000,39980,20,39980,0,20006212000,4404000,6404000,10407000,,5202000,9205000,1,39980,39980,9995,24108988,4,9905000,10407000,4,ack,0,0,0,True,19999500000,20006212000,500000
