scenario,variant,profile,seed,mode,offered,accepted,refused,acked,failed,ack_p99_ns,ack_max_ns,produce_requests,wire_bytes,partition_pending_gap_ns,first_observation_wait_max_ns,broker_attempts_max,last_terminal_ns
hard.flapping-broker,duty50-slow1,original,1,broker-ready,62000,62000,0,62000,0,528000000,690000000,23325,37445043,689500000,682844975,2,31006000000
hard.flapping-broker,duty50-slow1,original,7,sealed,62000,62000,0,62000,0,523000000,638500000,23325,37445137,638000000,631549339,2,31006000000
hard.flapping-broker,duty50-slow1,original,7,broker-ready,62000,62000,0,62000,0,523000000,638500000,23325,37445137,638000000,631549339,2,31006000000
soft.slow-broker-window,lanes1-i5,common,1,sealed,34611,34611,0,34611,0,28000000,4326000000,9482,20912322,1828000000,3961441086,2,22005000000
soft.slow-broker-window,lanes1-i5,common,1,broker-ready,46751,46751,0,46751,0,16000000,6296000000,7484,27514877,1353000000,5962247968,3,22011000000
soft.slow-broker-window,lanes1-i5,common,7,sealed,35011,35011,0,35011,0,27000000,4714000000,9443,21186508,2603000000,4234827929,3,22008000000
soft.slow-broker-window,lanes1-i5,common,7,broker-ready,46171,46171,0,46171,0,16000000,6908000000,7413,27180524,1385000000,6523970784,3,22013000000
soft.slow-broker-window,lanes1-i5,original,1,sealed,34264,34264,0,34264,0,28000000,6616000000,9364,20608486,1591000000,6469374217,3,22017000000
soft.slow-broker-window,lanes1-i5,original,1,broker-ready,44421,44421,0,44421,0,18000000,5494000000,8401,26387230,1520000000,5096363581,3,22009000000
soft.slow-broker-window,lanes1-i5,original,7,sealed,34500,34500,0,34500,0,28000000,7388000000,9347,20758382,1590000000,6994246202,4,22017000000
soft.slow-broker-window,lanes1-i5,original,7,broker-ready,44672,44672,0,44672,0,18000000,5547000000,8485,26529877,1658000000,4918647902,3,22014000000
soft.sustained-random-loss,loss5-slow0,common,1,sealed,45030,45030,0,45030,0,60000000,262000000,10421,27674433,188000000,242810524,4,17014000000
soft.sustained-random-loss,loss5-slow0,common,1,broker-ready,54188,54188,0,54188,0,52000000,215000000,8900,32862224,141000000,208776571,4,17008000000
soft.sustained-random-loss,loss5-slow0,common,7,sealed,45462,45462,0,45462,0,56000000,143000000,10557,27911238,132000000,136637154,4,17017000000
soft.sustained-random-loss,loss5-slow0,common,7,broker-ready,55444,55444,0,55444,0,48000000,164000000,9153,33512615,157000000,157040015,4,17013000000
soft.sustained-random-loss,loss5-slow0,original,1,sealed,41494,41494,0,41494,0,218000000,572000000,14377,25627858,355000000,544917321,4,17007000000
soft.sustained-random-loss,loss5-slow0,original,1,broker-ready,41494,41494,0,41494,0,218000000,572000000,14377,25627858,355000000,544917321,4,17007000000
soft.sustained-random-loss,loss5-slow0,original,7,sealed,43676,43676,0,43676,0,87000000,874000000,14446,26844857,813000000,842442955,5,17007000000
soft.sustained-random-loss,loss5-slow0,original,7,broker-ready,43676,43676,0,43676,0,87000000,874000000,14446,26844857,813000000,842442955,5,17007000000
